Page Name,Disclaimer,Amount Spent,Number of Ads in Library
NDC Partnership,These ads ran without a disclaimer,≤100,1
Михаил Волков,These ads ran without a disclaimer,≤100,1
Gadgets Hype,These ads ran without a disclaimer,≤100,1
Rajiv Malhotra,These ads ran without a disclaimer,≤100,4
Voices for Refugees - أصوات لأجل اللاجئين,These ads ran without a disclaimer,≤100,13
Senses,These ads ran without a disclaimer,≤100,1
Игорь Туник️️ � self-made,These ads ran without a disclaimer,≤100,1
Против,These ads ran without a disclaimer,≤100,4
Huru International,Huru International,≤100,20
Твій Голос - Інформаційна кампанія,These ads ran without a disclaimer,≤100,1
Save The Bees,These ads ran without a disclaimer,≤100,1
Orkidez Blueez Officiel,These ads ran without a disclaimer,≤100,1
Вичерпно,These ads ran without a disclaimer,≤100,2
Репост Днепр,These ads ran without a disclaimer,≤100,1
Equitable Futures,These ads ran without a disclaimer,≤100,1
Dancing Dude,These ads ran without a disclaimer,≤100,1
Сили Оборони України,These ads ran without a disclaimer,≤100,4
My Final Bag,These ads ran without a disclaimer,≤100,3
Insanè Offerz,These ads ran without a disclaimer,≤100,4
Sixdollarhats,These ads ran without a disclaimer,≤100,10
Окопный Евгений,These ads ran without a disclaimer,≤100,2
Народний Рух України - Івано-Франківськ,These ads ran without a disclaimer,≤100,1
International Community Foundation,These ads ran without a disclaimer,≤100,1
Опозиційний Блок. Хмельниччина,These ads ran without a disclaimer,≤100,3
EarthyG,These ads ran without a disclaimer,≤100,7
Vegan Lovers,These ads ran without a disclaimer,≤100,2
Fastshiphome,These ads ran without a disclaimer,≤100,2
Радыё Свабода,These ads ran without a disclaimer,≤100,1
UA:Суми,These ads ran without a disclaimer,≤100,1
Gealoot.com,These ads ran without a disclaimer,≤100,1
Football Ukraine,These ads ran without a disclaimer,≤100,1
Ol Pejeta Conservancy,These ads ran without a disclaimer,≤100,11
Global Network for Advanced Management,These ads ran without a disclaimer,≤100,1
Foodbeast,These ads ran without a disclaimer,≤100,1
А ТИ ЗНАВ?,These ads ran without a disclaimer,≤100,2
مفوضية اللاجئين,These ads ran without a disclaimer,≤100,22
УКРАЇНСЬКЕ ПРАВО,These ads ran without a disclaimer,≤100,1
Feminist Apparel,These ads ran without a disclaimer,≤100,9
DNA325,These ads ran without a disclaimer,≤100,1
Жанна Коваленко,These ads ran without a disclaimer,≤100,1
Юридическая фирма GBI LAW Studio,These ads ran without a disclaimer,≤100,1
All Out,All Out,≤100,1
Her Dream House,These ads ran without a disclaimer,≤100,4
We The Faith,These ads ran without a disclaimer,≤100,17
Мазепинка Легіон,These ads ran without a disclaimer,≤100,1
Apple Garden,These ads ran without a disclaimer,≤100,1
DARK PEAK,These ads ran without a disclaimer,≤100,2
Sustainable Living Guide,These ads ran without a disclaimer,≤100,2
Свободу не спинити,These ads ran without a disclaimer,≤100,1
Просвіта Запоріжжя,These ads ran without a disclaimer,≤100,2
МедіаТОР,These ads ran without a disclaimer,≤100,1
Сила Людей,These ads ran without a disclaimer,≤100,1
Дніпровська "Свобода" м. Київ,These ads ran without a disclaimer,≤100,1
Live Your Expression,These ads ran without a disclaimer,≤100,21
Mercury,These ads ran without a disclaimer,≤100,5
Kitchen Toolkits,These ads ran without a disclaimer,≤100,2
Національний Корпус - Одеса,These ads ran without a disclaimer,≤100,1
Gift Witty,These ads ran without a disclaimer,≤100,5
Shopping online,These ads ran without a disclaimer,≤100,1
Департамент гуманітарної політики Дніпровської міської ради,These ads ran without a disclaimer,≤100,1
Avantgardress,These ads ran without a disclaimer,≤100,1
Rail.insider,These ads ran without a disclaimer,≤100,1
В курсе всего,These ads ran without a disclaimer,≤100,1
Андрей Сыч,These ads ran without a disclaimer,≤100,1
Regime,These ads ran without a disclaimer,≤100,1
Ресторан / Караоке “Silver”,These ads ran without a disclaimer,≤100,1
CreativeTees,These ads ran without a disclaimer,≤100,1
Frost Journey Community,These ads ran without a disclaimer,≤100,1
BlueStars,These ads ran without a disclaimer,≤100,1
Watch The Med - Alarmphone,These ads ran without a disclaimer,≤100,1
Команда ЗЕ,These ads ran without a disclaimer,≤100,1
Denchik,These ads ran without a disclaimer,≤100,1
Good Life Bracelets,These ads ran without a disclaimer,≤100,15
Panda Love,These ads ran without a disclaimer,≤100,28
Благодійний фонд "Покуття",These ads ran without a disclaimer,≤100,2
Центр "Нова Європа" / New Europe Center,These ads ran without a disclaimer,≤100,1
Остап Єднак - Ostap Yednak,These ads ran without a disclaimer,≤100,1
BeeKind,These ads ran without a disclaimer,≤100,16
Соціальна Справедливість м.Суми,These ads ran without a disclaimer,≤100,1
Inno Chic,These ads ran without a disclaimer,≤100,1
Naturally Henna,These ads ran without a disclaimer,≤100,7
Nacomi Ukraine,These ads ran without a disclaimer,≤100,2
Про Вишневе,These ads ran without a disclaimer,≤100,1
Kyiv Post Employment Fair,These ads ran without a disclaimer,≤100,1
Gimme Trend Store,These ads ran without a disclaimer,≤100,9
Благотворительный фонд "Снайпер",These ads ran without a disclaimer,≤100,1
Trust Fitness Club,These ads ran without a disclaimer,≤100,1
PEKLO.News,These ads ran without a disclaimer,≤100,1
FeeR & Kompany,These ads ran without a disclaimer,≤100,1
Приют для Животных  'Бест френдс',These ads ran without a disclaimer,≤100,1
Всі разом,These ads ran without a disclaimer,≤100,2
Президент Зеленський,These ads ran without a disclaimer,≤100,1
Hillsdale College,Hillsdale College,≤100,3
Кав'ярня музей кіно-фототехніки Фіксаж,These ads ran without a disclaimer,≤100,1
good,These ads ran without a disclaimer,≤100,1
Зеленский - "Слуга Народу",These ads ran without a disclaimer,≤100,1
"Passport, Immigration & Citizenship Agency, Jamaica",These ads ran without a disclaimer,≤100,1
Warrior III,These ads ran without a disclaimer,≤100,2
BAT wig,These ads ran without a disclaimer,≤100,1
НАШЕ МІСТО Українка,These ads ran without a disclaimer,≤100,1
Bob Snail  Равлик Боб,These ads ran without a disclaimer,≤100,1
Таня,These ads ran without a disclaimer,≤100,1
ДемАльянс Тернопіль,These ads ran without a disclaimer,≤100,1
Видеосъемка Slivki.tv,These ads ran without a disclaimer,≤100,1
Danywin-cute02,These ads ran without a disclaimer,≤100,1
Бут Андрій,These ads ran without a disclaimer,≤100,1
Say_Tell_Us,These ads ran without a disclaimer,≤100,2
Terhi Koulumies,These ads ran without a disclaimer,≤100,1
Саша Боровик,These ads ran without a disclaimer,≤100,1
Emerson Commercial & Residential Solutions MEA,These ads ran without a disclaimer,≤100,1
Валерій Веремчук,These ads ran without a disclaimer,≤100,1
Донецкая Правда,These ads ran without a disclaimer,≤100,1
Ukrainian strategy 2030,These ads ran without a disclaimer,≤100,1
美麗日報 Beauties of Life,美麗日報,≤100,3
Auzillao-Love,These ads ran without a disclaimer,≤100,1
Muslim Blessed Faiths,These ads ran without a disclaimer,≤100,10
Nutanix,These ads ran without a disclaimer,≤100,3
"Кам'янець -Подільський: Анонс, Новини, Фото, Каталог фірм та довідка міста",These ads ran without a disclaimer,≤100,1
P.R.O school,These ads ran without a disclaimer,≤100,1
94WestEnd,These ads ran without a disclaimer,≤100,7
Martsinkiv_Best,These ads ran without a disclaimer,≤100,1
Dnepr � 23 годика,These ads ran without a disclaimer,≤100,1
Save The Bees,These ads ran without a disclaimer,≤100,7
Еврономера «Право на Все»,These ads ran without a disclaimer,≤100,1
Prizeo,These ads ran without a disclaimer,≤100,3
Kids in Fashion,These ads ran without a disclaimer,≤100,1
Swag_store,These ads ran without a disclaimer,≤100,1
Piper Hays,These ads ran without a disclaimer,≤100,1
صدى أوكرانيا بالعربي,These ads ran without a disclaimer,≤100,1
Maks Dyachenko,These ads ran without a disclaimer,≤100,1
Lennar International,These ads ran without a disclaimer,≤100,1
ESCR-Net,ESCR-Net,≤100,2
Станко Андрій,These ads ran without a disclaimer,≤100,1
Android Flash Drive,These ads ran without a disclaimer,≤100,1
Максим Гайковский,These ads ran without a disclaimer,≤100,2
Banco Mundial,These ads ran without a disclaimer,≤100,4
BOOM by Cindy Joseph,These ads ran without a disclaimer,≤100,2
العربية برامج - Al Arabiya Programs,These ads ran without a disclaimer,≤100,2
My Classic Nature,These ads ran without a disclaimer,≤100,4
BoostBees,These ads ran without a disclaimer,≤100,16
DoreenBeads,These ads ran without a disclaimer,≤100,2
Vegan4Life,These ads ran without a disclaimer,≤100,7
WOWsale,These ads ran without a disclaimer,≤100,2
Громадянська позиція - Черкаська область,Партія "Громадянська позиція",≤100,1
NyuhotOfficial,These ads ran without a disclaimer,≤100,1
Weston Snowboards,Weston Snowboards,≤100,1
WeVideo,These ads ran without a disclaimer,≤100,1
Azar,These ads ran without a disclaimer,≤100,1
Best Tech Crowdfunding Videos,These ads ran without a disclaimer,≤100,5
yevhenii_tsymbal,These ads ran without a disclaimer,≤100,1
PRINT & GIFTS,These ads ran without a disclaimer,≤100,1
Shopee Beauty,These ads ran without a disclaimer,≤100,2
Street Shepherds,These ads ran without a disclaimer,≤100,1
Проект " Открой Свой Детский Клуб",These ads ran without a disclaimer,≤100,1
Mobile Accessories,These ads ran without a disclaimer,≤100,3
Олександр Луцький,These ads ran without a disclaimer,≤100,1
BrightThis,These ads ran without a disclaimer,≤100,1
Greenville Park,These ads ran without a disclaimer,≤100,1
Громадянська позиція - Прилуки,These ads ran without a disclaimer,≤100,4
WATERisLIFE.com,These ads ran without a disclaimer,≤100,1
kurs.od.ua,These ads ran without a disclaimer,≤100,1
Gopowear,These ads ran without a disclaimer,≤100,1
ms.curly_sue,These ads ran without a disclaimer,≤100,1
Онищенко Юрій,These ads ran without a disclaimer,≤100,1
Trends in UA,These ads ran without a disclaimer,≤100,1
Державницька ініціатива Яроша Львів,These ads ran without a disclaimer,≤100,1
